,Unnamed: 0.1,Unnamed: 0,Data,Adj Close,Monthly Return
1,3,3,01-01-2019,166.189621,0.2715691470067771
2,4,4,01-02-2019,160.9653473,-0.0314356195565305
3,5,5,01-03-2019,166.189621,0.0324558905853396
4,6,6,01-04-2019,192.8194427,0.1602375740420034
5,7,7,01-05-2019,176.9372711,-0.0823681023946865
6,8,8,01-06-2019,192.420639,0.0875076675690855
7,9,9,01-07-2019,193.6469421,0.0063730330923597
8,10,10,01-08-2019,185.1126556,-0.0440713724030449
9,11,11,01-09-2019,177.5454407,-0.0408789711080133
10,12,12,01-10-2019,191.0746918,0.0762016250412225
11,13,13,01-11-2019,201.0347137,0.0521263271769412
12,14,14,01-12-2019,204.6338654,0.0179031354026297
13,15,15,01-01-2020,201.303894,-0.016272826560212
14,16,16,01-02-2020,191.8922424,-0.0467534502834805
15,17,17,01-03-2020,166.2992859,-0.1333715015255874
16,18,18,01-04-2020,204.0955048,0.2272782994554036
17,19,19,01-05-2020,224.4143066,0.0995553616916309
18,20,20,01-06-2020,226.388382,0.0087965666267375
19,21,21,01-07-2020,252.9085083,0.1171443784601984
20,22,22,01-08-2020,292.3198547,0.1558324259824832
21,23,23,01-09-2020,261.1138306,-0.1067530090695547
22,24,24,01-10-2020,262.3201599,0.0046199364362589
23,25,25,01-11-2020,276.1385803,0.0526776912810198
24,26,26,01-12-2020,272.3400269,-0.0137559677313948
25,27,27,01-01-2021,257.5545349,-0.0542905579040315
26,28,28,01-02-2021,256.8466797,-0.0027483701666324
27,29,29,01-03-2021,293.645874,0.1432729998417028
28,30,30,01-04-2021,324.104126,0.1037244337374889
29,31,31,01-05-2021,327.7432251,0.0112281788723664
30,32,32,01-06-2021,346.6662292,0.0577372853221489
31,33,33,01-07-2021,355.2304382,0.0247044802136151
32,34,34,01-08-2021,378.2411499,0.0647768581335495
33,35,35,01-09-2021,338.3712158,-0.1054087692746832
34,36,36,01-10-2021,322.5986633,-0.0466131625963204
35,37,37,01-11-2021,323.4860229,0.00275066111844
36,38,38,01-12-2021,335.340332,0.0366455063304682
37,39,39,01-01-2022,312.3196411,-0.0686487389175721
38,40,40,01-02-2022,210.3965149,-0.3263423518323196
39,41,41,01-03-2022,221.6925201,0.0536891269580626
40,42,42,01-04-2022,199.8682251,-0.0984439844436592
41,43,43,01-05-2022,193.0587311,-0.0340699178000555
42,44,44,01-06-2022,160.7659607,-0.1672691528427848
43,45,45,01-07-2022,158.6224213,-0.0133332913924482
44,46,46,01-08-2022,162.4409027,0.0240727721132067
45,47,47,01-09-2022,135.2727051,-0.1672497329701185
46,48,48,01-10-2022,92.88034821,-0.3133844100970817
47,49,49,01-11-2022,117.7454834,0.2677114768538615
48,50,50,01-12-2022,119.9787598,0.018966981454509
49,51,51,01-01-2023,148.5228119,0.2379092111602239
50,52,52,01-02-2023,174.414856,0.1743304194741008
51,53,53,01-03-2023,211.3037872,0.2115010845177087
52,54,54,01-04-2023,239.5986023,0.1339058588345074
53,55,55,01-05-2023,263.925354,0.1015312755019357
54,56,56,01-06-2023,286.1185608,0.0840889534243078
55,57,57,01-07-2023,317.6436157,0.1101817890173029
56,58,58,01-08-2023,295.0018005,-0.0712805612355961
57,59,59,01-09-2023,299.3088379,0.0146000376699395
58,60,60,01-10-2023,300.3656006,0.0035306765660994
59,61,61,01-11-2023,326.1679382,0.0859031045780813
60,62,62,01-12-2023,352.8974609,0.0819501844586882
